#{"t_start": 1698676261.2022698, "env_id": "CliffWalking-v0"}
r,l,t
-13.0,13,23.796108
-15.0,15,23.807583
-13.0,13,23.817446
-13.0,13,23.832563
-13.0,13,23.840065
-13.0,13,23.851442
-15.0,15,23.860297
-13.0,13,23.876815
-13.0,13,23.886156
-13.0,13,23.895677
-13.0,13,23.906307
-13.0,13,23.92226
-13.0,13,23.929808
-13.0,13,23.937976
-13.0,13,23.946992
-13.0,13,23.965362
-13.0,13,23.977105
-122.0,23,23.994688
-13.0,13,24.00495
-13.0,13,24.024223
-13.0,13,24.03619
-13.0,13,24.051647
-13.0,13,24.062161
-13.0,13,24.075439
-13.0,13,24.084923
-13.0,13,24.098574
-13.0,13,24.108665
-13.0,13,24.123687
-13.0,13,24.132674
-13.0,13,24.145324
-13.0,13,24.155994
-13.0,13,24.170949
-13.0,13,24.180852
-13.0,13,24.190066
-13.0,13,24.197988
-13.0,13,24.214002
-13.0,13,24.225919
-13.0,13,24.239487
-13.0,13,24.250311
-13.0,13,24.266264
-13.0,13,24.275028
-13.0,13,24.284558
-13.0,13,24.294766
-13.0,13,24.309623
-13.0,13,24.319679
-13.0,13,24.329849
-13.0,13,24.337855
-13.0,13,24.352743
-15.0,15,24.364819
-13.0,13,24.375826
-15.0,15,24.385343
-13.0,13,24.39968
-13.0,13,24.408337
-15.0,15,24.421226
-13.0,13,24.432362
-13.0,13,24.452936
-13.0,13,24.461796
-13.0,13,24.470833
-13.0,13,24.481956
-13.0,13,24.501465
-13.0,13,24.511533
-13.0,13,24.520358
-13.0,13,24.529704
-13.0,13,24.549815
-13.0,13,24.561571
-13.0,13,24.571171
-13.0,13,24.586062
-13.0,13,24.605174
-13.0,13,24.613197
-13.0,13,24.624737
-117.0,18,24.639429
-13.0,13,24.659668
-13.0,13,24.673326
-13.0,13,24.684439
-15.0,15,24.697235
-13.0,13,24.714679
-13.0,13,24.728622
-13.0,13,24.738488
-13.0,13,24.749793
-13.0,13,24.766662
-13.0,13,24.779752
-13.0,13,24.790864
-123.0,24,24.81513
-13.0,13,24.829578
-13.0,13,24.840924
-13.0,13,24.85264
-13.0,13,24.861692
-13.0,13,24.875403
-13.0,13,24.883802
-13.0,13,24.893603
-13.0,13,24.904397
-13.0,13,24.92093
-13.0,13,24.933501
-13.0,13,24.945998
-13.0,13,24.958646
-13.0,13,24.971898
-15.0,15,24.983733
-13.0,13,24.994051
-13.0,13,25.002213
-13.0,13,25.017848
-13.0,13,25.026037
-13.0,13,25.034836
-13.0,13,25.042887
-13.0,13,25.067623
-13.0,13,25.078619
-13.0,13,25.090754
-13.0,13,25.100846
-15.0,15,25.120714
-13.0,13,25.129782
-13.0,13,25.141674
-13.0,13,25.154237
-13.0,13,25.17415
-13.0,13,25.185086
-13.0,13,25.198218
-13.0,13,25.210587
-13.0,13,25.226074
-13.0,13,25.236167
-13.0,13,25.250244
-13.0,13,25.26078
-13.0,13,25.278332
-13.0,13,25.289047
-13.0,13,25.300744
-13.0,13,25.309765
-13.0,13,25.324944
-13.0,13,25.334129
-13.0,13,25.343932
-13.0,13,25.352964
-13.0,13,25.367719
-13.0,13,25.376448
-13.0,13,25.389395
-15.0,15,25.400712
-13.0,13,25.417135
-13.0,13,25.427256
-13.0,13,25.437689
-13.0,13,25.448323
-13.0,13,25.464925
-13.0,13,25.47478
-13.0,13,25.485019
-13.0,13,25.494582
-13.0,13,25.510891
-13.0,13,25.519537
-13.0,13,25.528603
-13.0,13,25.539418
-13.0,13,25.56822
-13.0,13,25.588051
-13.0,13,25.603194
-13.0,13,25.619865
-13.0,13,25.645286
-13.0,13,25.661071
-13.0,13,25.672595
-15.0,15,25.685115
-13.0,13,25.701567
-13.0,13,25.713628
-13.0,13,25.727955
-13.0,13,25.741077
-13.0,13,25.761005
-13.0,13,25.773231
-13.0,13,25.79045
-13.0,13,25.802635
-13.0,13,25.816813
-13.0,13,25.828322
-13.0,13,25.842384
-13.0,13,25.855392
-13.0,13,25.8735
-13.0,13,25.885258
-13.0,13,25.901437
-13.0,13,25.911739
-13.0,13,25.928448
-13.0,13,25.939743
-13.0,13,25.954992
-13.0,13,25.966997
-13.0,13,25.985078
-13.0,13,25.997229
-13.0,13,26.011359
-13.0,13,26.021836
-15.0,15,26.044319
-13.0,13,26.063921
-13.0,13,26.077701
-13.0,13,26.09352
-13.0,13,26.115472
-13.0,13,26.12769
-13.0,13,26.140695
-13.0,13,26.157931
-13.0,13,26.182472
-13.0,13,26.196324
-13.0,13,26.207977
-13.0,13,26.219845
-13.0,13,26.241698
-13.0,13,26.256238
-13.0,13,26.270466
-13.0,13,26.282696
-13.0,13,26.300583
-13.0,13,26.310074
-13.0,13,26.321025
-13.0,13,26.336705
-13.0,13,26.359872
-13.0,13,26.373641
-13.0,13,26.385159
-13.0,13,26.400785
-13.0,13,26.422111
-13.0,13,26.433892
-13.0,13,26.446899
-13.0,13,26.464606
-13.0,13,26.495685
-13.0,13,26.50686
-13.0,13,26.518179
-13.0,13,26.529488
-13.0,13,26.552773
-13.0,13,26.568426
-13.0,13,26.580833
-13.0,13,26.591939
-15.0,15,26.615454
-13.0,13,26.632409
-13.0,13,26.651558
-13.0,13,26.666539
-13.0,13,26.686941
-13.0,13,26.699632
-13.0,13,26.720147
-13.0,13,26.734304
-15.0,15,26.759405
-13.0,13,26.771613
-13.0,13,26.782252
-13.0,13,26.805501
-13.0,13,26.8326
-13.0,13,26.85146
-13.0,13,26.864198
-13.0,13,26.872717
-13.0,13,26.89367
-13.0,13,26.90256
-13.0,13,26.912564
-13.0,13,26.921177
-13.0,13,26.94285
-13.0,13,26.956789
-13.0,13,26.965587
-13.0,13,26.978876
-637.0,637,27.600816
-13.0,13,27.609945
-13.0,13,27.621682
-15.0,15,27.635307
-13.0,13,27.653718
-13.0,13,27.665222
-13.0,13,27.67953
-13.0,13,27.691497
-13.0,13,27.709043
-13.0,13,27.718774
-13.0,13,27.730773
-13.0,13,27.74121
-13.0,13,27.758528
-13.0,13,27.769621
-13.0,13,27.785215
-13.0,13,27.798724
-13.0,13,27.82099
-13.0,13,27.834841
-13.0,13,27.857131
-13.0,13,27.869826
-13.0,13,27.886162
-13.0,13,27.896108
-13.0,13,27.913229
-13.0,13,27.924539
-13.0,13,27.950492
-13.0,13,27.96362
-13.0,13,27.979442
-13.0,13,27.991315
-13.0,13,28.005816
-15.0,15,28.022151
-13.0,13,28.034429
-13.0,13,28.045499
-13.0,13,28.069504
-13.0,13,28.080671
